rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial
1457.5999994277954,,directmemory_phase,853755,,GW/paint.jpg,,,,49,,,1,1,GW/camera.jpg,GW/dustpan.jpg,GW/snail.jpg,GW/camera.jpg,GW/snail.jpg,GW/dustpan.jpg,1,,,,,,,
null,,html-keyboard-response,854759,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1458.5,,directmemory_phase,856220,,GW/basket.jpg,,,,50,,,1,1,GW/globe.jpg,GW/teeth.jpg,GW/dustpan.jpg,GW/teeth.jpg,GW/globe.jpg,GW/dustpan.jpg,1,,,,,,,
null,,html-keyboard-response,857225,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
914.3000001907349,,directmemory_phase,858140,,GW/camera.jpg,,,,51,,,1,1,GW/gong.jpg,GW/basket.jpg,GW/wheelchair.jpg,GW/wheelchair.jpg,GW/basket.jpg,GW/gong.jpg,1,,,,,,,
null,,html-keyboard-response,859149,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
null,,directmemory_phase,865661,,GW/teeth.jpg,,,,null,,,0,0.8571428571428571,GW/gong.jpg,GW/hat.jpg,GW/paint.jpg,GW/paint.jpg,GW/hat.jpg,GW/gong.jpg,0,,,,,,,
null,,html-keyboard-response,866671,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1763,,directmemory_phase,868435,,GW/hat.jpg,,,,51,,,1,0.875,GW/barrel.jpg,GW/gong.jpg,GW/dustpan.jpg,GW/dustpan.jpg,GW/gong.jpg,GW/barrel.jpg,1,,,,,,,
null,,html-keyboard-response,869443,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1891.6000003814697,,directmemory_phase,871336,,GW/wheelchair.jpg,,,,51,,,1,0.8888888888888888,GW/globe.jpg,GW/soldier.jpg,GW/teeth.jpg,GW/teeth.jpg,GW/soldier.jpg,GW/globe.jpg,1,,,,,,,
null,,html-keyboard-response,872343,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
2928.800000190735,,directmemory_phase,875274,,GW/basket.jpg,,,,51,,,1,0.9,GW/snail.jpg,GW/globe.jpg,GW/paint.jpg,GW/paint.jpg,GW/globe.jpg,GW/snail.jpg,1,,,,,,,
null,,html-keyboard-response,876291,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
4154.300000190735,,directmemory_phase,880447,,GW/wheelchair.jpg,,,,49,,,1,0.9090909090909091,GW/hat.jpg,GW/barrel.jpg,GW/basket.jpg,GW/hat.jpg,GW/basket.jpg,GW/barrel.jpg,1,,,,,,,
null,,html-keyboard-response,881452,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
3681.699999809265,,directmemory_phase,885134,,GW/basket.jpg,,,,50,,,1,0.9166666666666666,GW/camera.jpg,GW/barrel.jpg,GW/dustpan.jpg,GW/barrel.jpg,GW/camera.jpg,GW/dustpan.jpg,1,,,,,,,
null,,html-keyboard-response,886142,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1024.5,,directmemory_phase,887168,,GW/snail.jpg,,,,49,,,1,0.9230769230769231,GW/camera.jpg,GW/jukebox.jpg,GW/wheelchair.jpg,GW/camera.jpg,GW/wheelchair.jpg,GW/jukebox.jpg,1,,,,,,,
null,,html-keyboard-response,888179,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1809.8999996185303,,directmemory_phase,889991,,GW/hat.jpg,,,,50,,,1,0.9285714285714286,GW/teeth.jpg,GW/wheelchair.jpg,GW/jukebox.jpg,GW/wheelchair.jpg,GW/teeth.jpg,GW/jukebox.jpg,1,,,,,,,
null,,html-keyboard-response,891001,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
1580.6000003814697,,directmemory_phase,892583,,GW/basket.jpg,,,,50,,,1,0.9333333333333333,GW/globe.jpg,GW/jukebox.jpg,GW/soldier.jpg,GW/jukebox.jpg,GW/globe.jpg,GW/soldier.jpg,1,,,,,,,
null,,html-keyboard-response,893599,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,
