rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
null,,learn_phase(without_color),173401,,black_plus_sign,,,,null,GW/boulder.png,GW/carmel.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),174396,,blue,,,,null,GW/boulder.png,GW/carmel.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,174900,,blue,,,,null,GW/boulder.png,GW/carmel.png,,,,,,,,,,,,,,,,,
1358.5,,rt_thecrossant_black,175912,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,176015,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),179020,,black_plus_sign,,,,null,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),179681,,blue,,,,null,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,180183,,blue,,,,null,GW/newhope.png,GW/cornwall.png,,,,,,,,,,,,,,,,,
1345.6999999997206,,rt_thecrossant_black,181530,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,181634,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),184639,,black_plus_sign,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),185366,,blue,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,185868,,blue,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,
1035.6000000000931,,rt_thecrossant_black,187148,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,187251,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),190256,,black_plus_sign,,,,null,GW/shreveport.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),191227,,blue,,,,null,GW/shreveport.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,191729,,blue,,,,null,GW/shreveport.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,
1175.3000000002794,,rt_thecrossant_black,192765,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,192869,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),195873,,black_plus_sign,,,,null,GW/newhope.png,GW/hanover.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),196460,,blue,,,,null,GW/newhope.png,GW/hanover.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,196963,,blue,,,,null,GW/newhope.png,GW/hanover.png,,,,,,,,,,,,,,,,,
1299.8000000002794,,rt_thecrossant_black,198383,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,
null,,color_black,198487,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),201492,,black_plus_sign,,,,null,GW/leesburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),202215,,yellow,,,,null,GW/leesburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,202719,,yellow,,,,null,GW/leesburg.png,GW/shreveport.png,,,,,,,,,,,,,,,,,
684.1000000000931,,rt_thecrossant_black,204002,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,204105,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),207110,,black_plus_sign,,,,null,GW/boulder.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),207521,,yellow,,,,null,GW/boulder.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,208024,,yellow,,,,null,GW/boulder.png,GW/peoria.png,,,,,,,,,,,,,,,,,
1333.8999999999069,,rt_thecrossant_black,209619,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,209722,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),212727,,black_plus_sign,,,,null,GW/hotsprings.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),213160,,yellow,,,,null,GW/hotsprings.png,GW/peoria.png,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,213663,,yellow,,,,null,GW/hotsprings.png,GW/peoria.png,,,,,,,,,,,,,,,,,
1019.2999999998137,,rt_thecrossant_black,215236,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,
null,,color_black,215340,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,
