rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
,,Goal Directed Planning,806396,,GDP-12,,,hat,soldier,,undefinedimgLdrag05:[x1:74.20001220703125 x2:966.6000518798828 y1:210.00003051757812 y2:98.18753051757812]imgRdrag05:[x1:1074.2000274658203 x2:966.6000518798828 y1:210.00003051757812 y2:98.18753051757812],false,
,,Goal Directed Planning,898030,,GDP-13,,,hat,jukebox,,undefinedimgLdrag05:[x1:74.20001220703125 x2:313.6000213623047 y1:210.00003051757812 y2:266.1875305175781]drag05drag13:[x1:313.6000213623047 x2:447.59999084472656 y1:266.1875305175781 y2:121.18753051757812]drag13drag08:[x1:447.59999084472656 x2:579.0000152587891 y1:121.18753051757812 y2:118.00003051757812]drag08drag02:[x1:579.0000152587891 x2:879.5999908447266 y1:118.00003051757812 y2:199.18753051757812]drag02imgR:[x1:879.5999908447266 x2:1074.2000274658203 y1:199.18753051757812 y2:210.00003051757812],true,undefineddrag05imgL:[x1:444.59999084472656 x2:74.20001220703125 y1:110.18753051757812 y2:210.00003051757812]drag05drag13:[x1:444.59999084472656 x2:670.5999908447266 y1:110.18753051757812 y2:118.18753051757812]drag13drag02:[x1:670.5999908447266 x2:816.5999908447266 y1:118.18753051757812 y2:203.18753051757812]drag02imgR:[x1:816.5999908447266 x2:1074.2000274658203 y1:203.18753051757812 y2:210.00003051757812]
,,Goal Directed Planning,946472,,GDP-14,,,jukebox,camera,,undefinedimgLdrag02:[x1:74.20001220703125 x2:289.6000213623047 y1:210.00003051757812 y2:203.18753051757812]drag02drag08:[x1:289.6000213623047 x2:613.5999908447266 y1:203.18753051757812 y2:202.18753051757812]drag08imgR:[x1:613.5999908447266 x2:1074.2000274658203 y1:202.18753051757812 y2:210.00003051757812],true,undefinedimgLdrag13:[x1:74.20001220703125 x2:603.5999908447266 y1:210.00003051757812 y2:104.18753051757812]drag13imgR:[x1:603.5999908447266 x2:1074.2000274658203 y1:104.18753051757812 y2:210.00003051757812]
,,Goal Directed Planning,963126,,GDP-15,,,basket,dustpan,,undefinedimgLdrag13:[x1:74.20001220703125 x2:389.6000213623047 y1:210.00003051757812 y2:181.18753051757812]drag13drag05:[x1:389.6000213623047 x2:568.5999908447266 y1:181.18753051757812 y2:210.18753051757812]drag05drag01:[x1:568.5999908447266 x2:884.0000152587891 y1:210.18753051757812 y2:222.00003051757812]drag01imgR:[x1:884.0000152587891 x2:1074.2000274658203 y1:222.00003051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,976234,,GDP-16,,,wheelchair,teeth,,undefinedimgLdrag11:[x1:74.20001220703125 x2:413.59999084472656 y1:210.00003051757812 y2:252.18753051757812]drag11drag08:[x1:413.59999084472656 x2:613.5999908447266 y1:252.18753051757812 y2:174.18753051757812]drag08imgR:[x1:613.5999908447266 x2:1074.2000274658203 y1:174.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,997716,,GDP-17,,,snail,soldier,,undefinedimgLdrag11:[x1:74.20001220703125 x2:415.59999084472656 y1:210.00003051757812 y2:176.18753051757812]drag11drag05:[x1:415.59999084472656 x2:643.5999908447266 y1:176.18753051757812 y2:162.18753051757812]drag05drag01:[x1:643.5999908447266 x2:828.0000152587891 y1:162.18753051757812 y2:155.00003051757812]drag01imgR:[x1:828.0000152587891 x2:1074.2000274658203 y1:155.00003051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1039305,,GDP-18,,,hat,barrel,,undefinedimgLdrag05:[x1:74.20001220703125 x2:383.6000213623047 y1:210.00003051757812 y2:317.1875305175781]drag10drag05:[x1:391.6000213623047 x2:383.6000213623047 y1:88.1875 y2:317.1875305175781]drag10imgR:[x1:391.6000213623047 x2:1074.2000274658203 y1:88.1875 y2:210.00003051757812],false,
,,Goal Directed Planning,1056857,,GDP-19,,,soldier,dustpan,,undefinedimgLdrag01:[x1:74.20001220703125 x2:819.5999908447266 y1:210.00003051757812 y2:204.18753051757812]drag01imgR:[x1:819.5999908447266 x2:1074.2000274658203 y1:204.18753051757812 y2:210.00003051757812],true,undefinedimgLdrag08:[x1:74.20001220703125 x2:518.5999908447266 y1:210.00003051757812 y2:102.18753051757812]drag08imgR:[x1:518.5999908447266 x2:1074.2000274658203 y1:102.18753051757812 y2:210.00003051757812]
,,Goal Directed Planning,1072860,,GDP-20,,,barrel,dustpan,,undefinedimgLdrag08:[x1:74.20001220703125 x2:489.59999084472656 y1:210.00003051757812 y2:144.18753051757812]imgRdrag01:[x1:1074.2000274658203 x2:895.5999908447266 y1:210.00003051757812 y2:198.18753051757812]drag08drag01:[x1:489.59999084472656 x2:895.5999908447266 y1:144.18753051757812 y2:198.18753051757812],true,undefinedimgLdrag11:[x1:74.20001220703125 x2:588.5999908447266 y1:210.00003051757812 y2:114.18753051757812]drag11imgR:[x1:588.5999908447266 x2:1074.2000274658203 y1:114.18753051757812 y2:210.00003051757812]
,,Goal Directed Planning,1078935,,GDP-21,,,globe,teeth,,undefinedimgLdrag10:[x1:74.20001220703125 x2:586.5999908447266 y1:210.00003051757812 y2:188.18753051757812]drag10imgR:[x1:586.5999908447266 x2:1074.2000274658203 y1:188.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1084101,,GDP-22,,,hat,teeth,,undefinedimgLdrag09:[x1:74.20001220703125 x2:575.5999908447266 y1:210.00003051757812 y2:104.18753051757812]drag09imgR:[x1:575.5999908447266 x2:1074.2000274658203 y1:104.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1088681,,GDP-23,,,wheelchair,jukebox,,undefinedimgLdrag11:[x1:74.20001220703125 x2:602.5999908447266 y1:210.00003051757812 y2:158.18753051757812]drag11imgR:[x1:602.5999908447266 x2:1074.2000274658203 y1:158.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1097409,,GDP-24,,,hat,snail,,undefinedimgLdrag11:[x1:74.20001220703125 x2:589.5999908447266 y1:210.00003051757812 y2:94.18753051757812]drag11imgR:[x1:589.5999908447266 x2:1074.2000274658203 y1:94.18753051757812 y2:210.00003051757812],true,undefinedimgLdrag10:[x1:74.20001220703125 x2:549.5999908447266 y1:210.00003051757812 y2:60]drag10imgR:[x1:549.5999908447266 x2:1074.2000274658203 y1:60 y2:210.00003051757812]
,,Goal Directed Planning,1103577,,GDP-25,,,soldier,teeth,,undefinedimgLdrag09:[x1:74.20001220703125 x2:568.5999908447266 y1:210.00003051757812 y2:206.18753051757812]drag09imgR:[x1:568.5999908447266 x2:1074.2000274658203 y1:206.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1108756,,GDP-26,,,wheelchair,paint,,undefinedimgLdrag11:[x1:74.20001220703125 x2:559.5999908447266 y1:210.00003051757812 y2:163.18753051757812]drag11imgR:[x1:559.5999908447266 x2:1074.2000274658203 y1:163.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1113460,,GDP-27,,,snail,wheelchair,,undefinedimgLdrag11:[x1:74.20001220703125 x2:591.5999908447266 y1:210.00003051757812 y2:173.18753051757812]drag11imgR:[x1:591.5999908447266 x2:1074.2000274658203 y1:173.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1119696,,GDP-28,,,basket,barrel,,undefinedimgLdrag11:[x1:74.20001220703125 x2:598.5999908447266 y1:210.00003051757812 y2:170.18753051757812]drag11imgR:[x1:598.5999908447266 x2:1074.2000274658203 y1:170.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1132470,,GDP-29,,,basket,gong,,undefinedimgLdrag11:[x1:74.20001220703125 x2:591.5999908447266 y1:210.00003051757812 y2:188.18753051757812]drag11imgR:[x1:591.5999908447266 x2:1074.2000274658203 y1:188.18753051757812 y2:210.00003051757812],true,undefinedimgLdrag08:[x1:74.20001220703125 x2:584.5999908447266 y1:210.00003051757812 y2:152.18753051757812]drag08drag10:[x1:584.5999908447266 x2:744.5999908447266 y1:152.18753051757812 y2:166.18753051757812]drag10imgR:[x1:744.5999908447266 x2:1074.2000274658203 y1:166.18753051757812 y2:210.00003051757812]
,,Goal Directed Planning,1141569,,GDP-30,,,basket,teeth,,undefinedimgLdrag09:[x1:74.20001220703125 x2:571.5999908447266 y1:210.00003051757812 y2:139.18753051757812]drag09imgR:[x1:571.5999908447266 x2:1074.2000274658203 y1:139.18753051757812 y2:210.00003051757812],true,undefinedimgLdrag10:[x1:74.20001220703125 x2:573.5999908447266 y1:210.00003051757812 y2:112.18753051757812]drag10imgR:[x1:573.5999908447266 x2:1074.2000274658203 y1:112.18753051757812 y2:210.00003051757812]
,,Goal Directed Planning,1145726,,GDP-31,,,globe,soldier,,undefinedimgLdrag11:[x1:74.20001220703125 x2:615.5999908447266 y1:210.00003051757812 y2:184.18753051757812]drag11imgR:[x1:615.5999908447266 x2:1074.2000274658203 y1:184.18753051757812 y2:210.00003051757812],false,
,,Goal Directed Planning,1150185,,GDP-32,,,paint,teeth,,undefinedimgLdrag10:[x1:74.20001220703125 x2:626.5999908447266 y1:210.00003051757812 y2:182.18753051757812]drag10imgR:[x1:626.5999908447266 x2:1074.2000274658203 y1:182.18753051757812 y2:210.00003051757812],false,
