rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor,problems,smooth,distraction,strategies,easier,similar,comments
1294.199999988079,,rt_thecrossant_black,355441,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,355557,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),358560,,black_plus_sign,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),359137,,blue,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,359653,,blue,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,,
1545.2999999523163,,rt_thecrossant_black,361080,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,361181,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),364184,,black_plus_sign,,,,null,GW/huntsville.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),364780,,yellow,,,,null,GW/huntsville.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,365282,,yellow,,,,null,GW/huntsville.png,GW/newhope.png,,,,,,,,,,,,,,,,,,,,,,,,,
1561.9000000357628,,rt_thecrossant_black,366690,,black_plus_sign,,,,50,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,366799,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),369800,,black_plus_sign,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),370592,,blue,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,371094,,blue,,,,null,GW/hanover.png,GW/shreveport.png,,,,,,,,,,,,,,,,,,,,,,,,,
1185.4000000357628,,rt_thecrossant_black,372304,,black_plus_sign,,,,49,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
null,,color_black,372406,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,,,,,,,,
