rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,detour_trial,linedressed_detor
8150.300000011921,{worker_id:5b09f4f1d282ff00015b536d},id_enter,8153,interleaved,replication,GW/racine.png; GW/gatlinburg.png; GW/boulder.png; GW/shreveport.png; GW/cornwall.png; GW/carmel.png; GW/peoria.png; GW/huntsville.png; GW/leesburg.png; GW/westpalmbeach.png; GW/newhope.png; GW/hotsprings.png; GW/hanover.png,,,,,,,,,,,,,,,,,,,,,,,
4780.9000000059605,,fullscreen,12938,,fullscreen,,0,,,,,,,,,,,,,,,,,,,,,,
13139.59999999404,,intro_1,26079,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
16004,,intro_2,42085,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
12672.100000023842,,intro_3,54759,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_1,57761,,lean_prac_1,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,58764,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
3033.5999999940395,,intro_1,61799,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
9183,,intro_2,70983,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,learn_prac_2,73986,,lean_prac_2,,,,null,,,,,,,,,,,,,,,,,,,,
null,,html-keyboard-response,74987,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1992.7999999821186,,intro_1,76981,,instruct,,0,,,,,,,,,,,,,,,,,,,,,,
1710.5999999940395,,intro_2,78693,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
33931.70000001788,,intro_3,112627,,instruct,,1,Next,,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,113464,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,114033,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
435.60000002384186,,prac_atten_color_black,116034,,black_plus_sign,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,116871,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
127.40000000596046,,prac_atten_color,117532,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
67,,prac_atten_color_black,119534,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,120278,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
669.0999999940395,,prac_atten_color,121379,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,123381,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,123685,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
575.0999999940395,,prac_atten_color,124632,,prac_stop_color,,,,49,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,126634,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,127093,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
748.5999999940395,,prac_atten_color,128182,,prac_stop_color,,,,50,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,130183,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color_black,130499,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,prac_atten_color,130916,,prac_stop_color,,,,null,,,,,,,,,,,,,,,,,,,,
200.30000001192093,,prac_atten_color_black,132919,,black_plus_sign,,,,50,,,,,,,,,,,,,,,,,,,,
