rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
null,,rt_plussign_withcolor,1423941,,blue,,,,null,GW/peoria.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
951.2000000029802,,rt_thecrossant_black,1425123,,black_plus_sign,,,,49,,,1,0.9814814814814815,,,,,,,,,,,,,,,,
null,,color_black,1425224,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1428226,,black_plus_sign,,,,null,GW/boulder.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1429134,,blue,,,,null,GW/boulder.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1429635,,blue,,,,null,GW/boulder.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
1569.3000000044703,,rt_thecrossant_black,1430731,,black_plus_sign,,,,49,,,1,0.981651376146789,,,,,,,,,,,,,,,,
null,,color_black,1430833,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1433835,,black_plus_sign,,,,null,GW/hotsprings.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1434351,,blue,,,,null,GW/hotsprings.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1434852,,blue,,,,null,GW/hotsprings.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
1679.8999999985099,,rt_thecrossant_black,1436341,,black_plus_sign,,,,49,,,1,0.9818181818181818,,,,,,,,,,,,,,,,
null,,color_black,1436443,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1439444,,black_plus_sign,,,,null,GW/carmel.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1440420,,blue,,,,null,GW/carmel.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1440921,,blue,,,,null,GW/carmel.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
1017.8999999985099,,rt_thecrossant_black,1441948,,black_plus_sign,,,,49,,,1,0.9819819819819819,,,,,,,,,,,,,,,,
null,,color_black,1442050,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1445051,,black_plus_sign,,,,null,GW/newhope.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1445967,,yellow,,,,null,GW/newhope.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1446468,,yellow,,,,null,GW/newhope.png,GW/westpalmbeach.png,,,,,,,,,,,,,,,,,,
1436.1000000014901,,rt_thecrossant_black,1447555,,black_plus_sign,,,,50,,,1,0.9821428571428571,,,,,,,,,,,,,,,,
null,,color_black,1447657,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1450658,,black_plus_sign,,,,null,GW/hanover.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1451401,,blue,,,,null,GW/hanover.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1451902,,blue,,,,null,GW/hanover.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
1247.5,,rt_thecrossant_black,1453163,,black_plus_sign,,,,49,,,1,0.9823008849557522,,,,,,,,,,,,,,,,
null,,color_black,1453265,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1456267,,black_plus_sign,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1456725,,blue,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1457227,,blue,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
1303.2000000029802,,rt_thecrossant_black,1458771,,black_plus_sign,,,,49,,,1,0.9824561403508771,,,,,,,,,,,,,,,,
null,,color_black,1458873,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1461874,,black_plus_sign,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1462345,,blue,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1462846,,blue,,,,null,GW/hotsprings.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
871.9000000059605,,rt_thecrossant_black,1464377,,black_plus_sign,,,,49,,,1,0.9826086956521739,,,,,,,,,,,,,,,,
null,,color_black,1464492,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1467494,,black_plus_sign,,,,null,GW/peoria.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1468425,,yellow,,,,null,GW/peoria.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1468927,,yellow,,,,null,GW/peoria.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
788.7000000029802,,rt_thecrossant_black,1469998,,black_plus_sign,,,,50,,,1,0.9827586206896551,,,,,,,,,,,,,,,,
null,,color_black,1470100,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1473102,,black_plus_sign,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1473943,,blue,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1474450,,blue,,,,null,GW/shreveport.png,GW/leesburg.png,,,,,,,,,,,,,,,,,,
null,,rt_thecrossant_black,1475611,,black_plus_sign,,,,null,,,,0.9827586206896551,,,,,,,,,,,,,,,,
null,,color_black,1475712,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1478715,,black_plus_sign,,,,null,GW/gatlinburg.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1479396,,yellow,,,,null,GW/gatlinburg.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1479897,,yellow,,,,null,GW/gatlinburg.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
1334.2000000029802,,rt_thecrossant_black,1481219,,black_plus_sign,,,,50,,,1,0.9829059829059829,,,,,,,,,,,,,,,,
null,,color_black,1481320,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1484333,,black_plus_sign,,,,null,GW/carmel.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1485098,,blue,,,,null,GW/carmel.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1485599,,blue,,,,null,GW/carmel.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
920.1999999955297,,rt_thecrossant_black,1486842,,black_plus_sign,,,,49,,,1,0.9830508474576272,,,,,,,,,,,,,,,,
null,,color_black,1486943,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1489946,,black_plus_sign,,,,null,GW/newhope.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1490967,,yellow,,,,null,GW/newhope.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1491469,,yellow,,,,null,GW/newhope.png,GW/hotsprings.png,,,,,,,,,,,,,,,,,,
1523.1000000014901,,rt_thecrossant_black,1492450,,black_plus_sign,,,,50,,,1,0.9831932773109243,,,,,,,,,,,,,,,,
null,,color_black,1492552,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1495553,,black_plus_sign,,,,null,GW/hotsprings.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1496260,,yellow,,,,null,GW/hotsprings.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1496762,,yellow,,,,null,GW/hotsprings.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
1403.7000000029802,,rt_thecrossant_black,1498057,,black_plus_sign,,,,50,,,1,0.9833333333333333,,,,,,,,,,,,,,,,
null,,color_black,1498157,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1501159,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1501676,,blue,,,,null,GW/westpalmbeach.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1502178,,blue,,,,null,GW/westpalmbeach.png,GW/newhope.png,,,,,,,,,,,,,,,,,,
1177.6999999955297,,rt_thecrossant_black,1503663,,black_plus_sign,,,,49,,,1,0.9834710743801653,,,,,,,,,,,,,,,,
null,,color_black,1503764,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1506766,,black_plus_sign,,,,null,GW/leesburg.png,GW/racine.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1507418,,yellow,,,,null,GW/leesburg.png,GW/racine.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1507924,,yellow,,,,null,GW/leesburg.png,GW/racine.png,,,,,,,,,,,,,,,,,,
1146.4000000059605,,rt_thecrossant_black,1509275,,black_plus_sign,,,,50,,,1,0.9836065573770492,,,,,,,,,,,,,,,,
null,,color_black,1509376,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1512378,,black_plus_sign,,,,null,GW/huntsville.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1512825,,blue,,,,null,GW/huntsville.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1513326,,blue,,,,null,GW/huntsville.png,GW/hanover.png,,,,,,,,,,,,,,,,,,
926.8999999985099,,rt_thecrossant_black,1514881,,black_plus_sign,,,,49,,,1,0.983739837398374,,,,,,,,,,,,,,,,
null,,color_black,1514982,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1517984,,black_plus_sign,,,,null,GW/hotsprings.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1518554,,blue,,,,null,GW/hotsprings.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1519055,,blue,,,,null,GW/hotsprings.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
826.5999999940395,,rt_thecrossant_black,1520489,,black_plus_sign,,,,49,,,1,0.9838709677419355,,,,,,,,,,,,,,,,
null,,color_black,1520591,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_break,1580607,,learn_break,,,,null,,,,,,,,,,,,,,,,,,,,
31167.30000000447,,intro_1,1611775,,instruct,,0,Start,,,,,,,,,,,,,,,,,,,,,
6379.69999999553,,directmemory_phase,1618156,,GW/huntsville.png,,,,50,,,1,1,GW/newhope.png,GW/hotsprings.png,GW/boulder.png,GW/hotsprings.png,GW/newhope.png,GW/boulder.png,1,,,,,,,,,
null,,html-keyboard-response,1619157,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
2078.9000000059605,,directmemory_phase,1621237,,GW/leesburg.png,,,,49,,,1,1,GW/shreveport.png,GW/hotsprings.png,GW/peoria.png,GW/shreveport.png,GW/peoria.png,GW/hotsprings.png,1,,,,,,,,,
null,,html-keyboard-response,1622238,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
2437.6999999955297,,directmemory_phase,1624677,,GW/huntsville.png,,,,51,,,1,1,GW/leesburg.png,GW/peoria.png,GW/carmel.png,GW/carmel.png,GW/peoria.png,GW/leesburg.png,1,,,,,,,,,
null,,html-keyboard-response,1625678,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1862.1000000014901,,directmemory_phase,1627541,,GW/peoria.png,,,,49,,,1,1,GW/hotsprings.png,GW/cornwall.png,GW/huntsville.png,GW/hotsprings.png,GW/huntsville.png,GW/cornwall.png,1,,,,,,,,,
null,,html-keyboard-response,1628543,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
6039.20000000298,,directmemory_phase,1634582,,GW/hanover.png,,,,50,,,0,0.8,GW/huntsville.png,GW/racine.png,GW/newhope.png,GW/huntsville.png,GW/newhope.png,GW/racine.png,0.5,closer,,,,,,,,
null,,html-keyboard-response,1635584,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
5341.5,,directmemory_phase,1640927,,GW/peoria.png,,,,49,,,1,0.8333333333333334,GW/boulder.png,GW/carmel.png,GW/huntsville.png,GW/boulder.png,GW/huntsville.png,GW/carmel.png,1,,,,,,,,,
null,,html-keyboard-response,1641928,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
1430.7000000029802,,directmemory_phase,1643359,,GW/gatlinburg.png,,,,49,,,1,0.8571428571428571,GW/hanover.png,GW/westpalmbeach.png,GW/hotsprings.png,GW/hanover.png,GW/hotsprings.png,GW/westpalmbeach.png,1,,,,,,,,,
null,,html-keyboard-response,1644361,,<p></p>,,,,null,,,,,,,,,,,,,,,,,,,,
