rt,responses,trial_type,time_elapsed,sequence,stimulus,graphorder,button_pressed,response,key_press,stimulus_left,stimulus_right,accuracy,cumulative_accuracy,stimulus_down_left,stimulus_down_mid,stimulus_down_right,stimulus_correct,stimulus_short,stimulus_far,weighted_accuracy,missedtrial,condition,specific_pairs,imgL_ID,imgR_ID,linedress,linedressed,linedressed_detor,detour_trial
null,,rt_plussign_withcolor,1104658,,yellow,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
1078.6000000000931,,rt_thecrossant_black,1106187,,black_plus_sign,,,,50,,,1,0.9821428571428571,,,,,,,,,,,,,,,,
null,,color_black,1106296,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1109309,,black_plus_sign,,,,null,GW/peoria.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1110018,,yellow,,,,null,GW/peoria.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1110523,,yellow,,,,null,GW/peoria.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
781.5999999996275,,rt_thecrossant_black,1111835,,black_plus_sign,,,,50,,,1,0.9823008849557522,,,,,,,,,,,,,,,,
null,,color_black,1111945,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1114955,,black_plus_sign,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1115922,,blue,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1116426,,blue,,,,null,GW/shreveport.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
964.5,,rt_thecrossant_black,1117472,,black_plus_sign,,,,49,,,1,0.9824561403508771,,,,,,,,,,,,,,,,
null,,color_black,1117576,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1120589,,black_plus_sign,,,,null,GW/peoria.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1121065,,blue,,,,null,GW/peoria.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1121570,,blue,,,,null,GW/peoria.png,GW/huntsville.png,,,,,,,,,,,,,,,,,,
1214.8999999999069,,rt_thecrossant_black,1123114,,black_plus_sign,,,,49,,,1,0.9826086956521739,,,,,,,,,,,,,,,,
null,,color_black,1123225,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1126235,,black_plus_sign,,,,null,GW/racine.png,GW/boulder.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1126812,,yellow,,,,null,GW/racine.png,GW/boulder.png,,,,,,,,,,,,,,,,,,
null,,rt_plussign_withcolor,1127317,,yellow,,,,null,GW/racine.png,GW/boulder.png,,,,,,,,,,,,,,,,,,
768.6000000000931,,rt_thecrossant_black,1128757,,black_plus_sign,,,,50,,,1,0.9827586206896551,,,,,,,,,,,,,,,,
null,,color_black,1128870,,black_plus_sign,,,,null,,,,,,,,,,,,,,,,,,,,
null,,learn_phase(without_color),1131886,,black_plus_sign,,,,null,GW/westpalmbeach.png,GW/peoria.png,,,,,,,,,,,,,,,,,,
null,,black_cross(without_color),1132565,,yellow,,,,null,GW/westpalmbeach.png,GW/peoria.png,,,,,,,,,,,,,,,,,,
